# music conformance fixture - regenerate with npm run goldens
# scales: name,degree;degree;...
chromatic,0;1;2;3;4;5;6;7;8;9;10;11
major,0;2;4;5;7;9;11
minor,0;2;3;5;7;8;10
dorian,0;2;3;5;7;9;10
mixolydian,0;2;4;5;7;9;10
lydian,0;2;4;6;7;9;11
phrygian,0;1;3;5;7;8;10
harmonicMinor,0;2;3;5;7;8;11
majorPentatonic,0;2;4;7;9
minorPentatonic,0;3;5;7;10
blues,0;3;5;6;7;10
# snapToScale: scale,root,note,result
phrygian,0,60,60
phrygian,0,61,61
phrygian,0,66,65
phrygian,0,71,72
phrygian,0,127,127
phrygian,0,128,128
phrygian,0,140,140
phrygian,1,-13,-13
phrygian,1,-1,-1
phrygian,1,0,1
phrygian,1,1,1
phrygian,1,11,11
phrygian,1,12,13
phrygian,1,47,47
phrygian,1,60,61
phrygian,1,61,61
phrygian,1,66,66
phrygian,1,71,71
phrygian,1,127,126
phrygian,1,128,128
phrygian,1,140,140
phrygian,5,-13,-14
phrygian,5,-1,-2
phrygian,5,0,0
phrygian,5,1,1
phrygian,5,11,10
phrygian,5,12,12
phrygian,5,47,46
phrygian,5,60,60
phrygian,5,61,61
phrygian,5,66,66
phrygian,5,71,70
phrygian,5,127,126
phrygian,5,128,128
phrygian,5,140,140
phrygian,7,-13,-14
phrygian,7,-1,-2
phrygian,7,0,0
phrygian,7,1,0
phrygian,7,11,10
phrygian,7,12,12
phrygian,7,47,46
phrygian,7,60,60
phrygian,7,61,60
phrygian,7,66,67
phrygian,7,71,70
phrygian,7,127,127
phrygian,7,128,128
phrygian,7,140,140
phrygian,11,-13,-13
phrygian,11,-1,-1
phrygian,11,0,0
phrygian,11,1,0
phrygian,11,11,11
phrygian,11,12,12
phrygian,11,47,47
phrygian,11,60,60
phrygian,11,61,60
phrygian,11,66,66
phrygian,11,71,71
phrygian,11,127,127
phrygian,11,128,127
phrygian,11,140,139
harmonicMinor,0,-13,-13
harmonicMinor,0,-1,-1
harmonicMinor,0,0,0
harmonicMinor,0,1,0
harmonicMinor,0,11,11
harmonicMinor,0,12,12
harmonicMinor,0,47,47
harmonicMinor,0,60,60
harmonicMinor,0,61,60
harmonicMinor,0,66,65
harmonicMinor,0,71,71
harmonicMinor,0,127,127
harmonicMinor,0,128,128
harmonicMinor,0,140,140
harmonicMinor,1,-13,-12
harmonicMinor,1,-1,0
harmonicMinor,1,0,0
harmonicMinor,1,1,1
harmonicMinor,1,11,12
harmonicMinor,1,12,12
harmonicMinor,1,47,48
harmonicMinor,1,60,60
harmonicMinor,1,61,61
harmonicMinor,1,66,66
harmonicMinor,1,71,72
harmonicMinor,1,127,126
harmonicMinor,1,128,128
harmonicMinor,1,140,140
harmonicMinor,5,-13,-14
harmonicMinor,5,-1,-2
harmonicMinor,5,0,0
harmonicMinor,5,1,1
harmonicMinor,5,11,10
harmonicMinor,5,12,12
harmonicMinor,5,47,46
harmonicMinor,5,60,60
harmonicMinor,5,61,61
harmonicMinor,5,66,65
harmonicMinor,5,71,70
harmonicMinor,5,127,127
harmonicMinor,5,128,128
harmonicMinor,5,140,140
harmonicMinor,7,-13,-14
harmonicMinor,7,-1,-2
harmonicMinor,7,0,0
harmonicMinor,7,1,0
harmonicMinor,7,11,10
harmonicMinor,7,12,12
harmonicMinor,7,47,46
harmonicMinor,7,60,60
harmonicMinor,7,61,60
harmonicMinor,7,66,66
harmonicMinor,7,71,70
harmonicMinor,7,127,127
harmonicMinor,7,128,127
harmonicMinor,7,140,139
harmonicMinor,11,-13,-13
harmonicMinor,11,-1,-1
harmonicMinor,11,0,-1
harmonicMinor,11,1,1
harmonicMinor,11,11,11
harmonicMinor,11,12,11
harmonicMinor,11,47,47
harmonicMinor,11,60,59
harmonicMinor,11,61,61
harmonicMinor,11,66,66
harmonicMinor,11,71,71
harmonicMinor,11,127,127
harmonicMinor,11,128,127
harmonicMinor,11,140,139
majorPentatonic,0,-13,-12
majorPentatonic,0,-1,0
majorPentatonic,0,0,0
majorPentatonic,0,1,0
majorPentatonic,0,11,12
majorPentatonic,0,12,12
majorPentatonic,0,47,48
majorPentatonic,0,60,60
majorPentatonic,0,61,60
majorPentatonic,0,66,67
majorPentatonic,0,71,72
majorPentatonic,0,127,127
majorPentatonic,0,128,127
majorPentatonic,0,140,139
majorPentatonic,1,-13,-14
majorPentatonic,1,-1,-2
majorPentatonic,1,0,1
majorPentatonic,1,1,1
majorPentatonic,1,11,10
majorPentatonic,1,12,13
majorPentatonic,1,47,46
majorPentatonic,1,60,61
majorPentatonic,1,61,61
majorPentatonic,1,66,65
majorPentatonic,1,71,70
majorPentatonic,1,127,128
majorPentatonic,1,128,128
majorPentatonic,1,140,140
majorPentatonic,5,-13,-12
majorPentatonic,5,-1,0
majorPentatonic,5,0,0
majorPentatonic,5,1,0
majorPentatonic,5,11,12
majorPentatonic,5,12,12
majorPentatonic,5,47,48
majorPentatonic,5,60,60
majorPentatonic,5,61,60
majorPentatonic,5,66,65
majorPentatonic,5,71,72
majorPentatonic,5,127,127
majorPentatonic,5,128,127
majorPentatonic,5,140,139
majorPentatonic,7,-13,-13
majorPentatonic,7,-1,-1
majorPentatonic,7,0,-1
majorPentatonic,7,1,2
majorPentatonic,7,11,11
majorPentatonic,7,12,11
majorPentatonic,7,47,47
majorPentatonic,7,60,59
majorPentatonic,7,61,62
majorPentatonic,7,66,67
majorPentatonic,7,71,71
majorPentatonic,7,127,127
majorPentatonic,7,128,127
majorPentatonic,7,140,139
majorPentatonic,11,-13,-13
majorPentatonic,11,-1,-1
majorPentatonic,11,0,-1
majorPentatonic,11,1,1
majorPentatonic,11,11,11
majorPentatonic,11,12,11
majorPentatonic,11,47,47
majorPentatonic,11,60,59
majorPentatonic,11,61,61
majorPentatonic,11,66,66
majorPentatonic,11,71,71
majorPentatonic,11,127,126
majorPentatonic,11,128,128
majorPentatonic,11,140,140
minorPentatonic,0,-13,-12
minorPentatonic,0,-1,0
minorPentatonic,0,0,0
minorPentatonic,0,1,0
minorPentatonic,0,11,12
minorPentatonic,0,12,12
minorPentatonic,0,47,48
minorPentatonic,0,60,60
minorPentatonic,0,61,60
minorPentatonic,0,66,65
minorPentatonic,0,71,72
minorPentatonic,0,127,127
minorPentatonic,0,128,127
minorPentatonic,0,140,139
minorPentatonic,1,-13,-13
minorPentatonic,1,-1,-1
minorPentatonic,1,0,1
minorPentatonic,1,1,1
minorPentatonic,1,11,11
minorPentatonic,1,12,13
minorPentatonic,1,47,47
minorPentatonic,1,60,61
minorPentatonic,1,61,61
minorPentatonic,1,66,66
minorPentatonic,1,71,71
minorPentatonic,1,127,126
minorPentatonic,1,128,128
minorPentatonic,1,140,140
minorPentatonic,5,-13,-14
minorPentatonic,5,-1,-2
minorPentatonic,5,0,0
minorPentatonic,5,1,0
minorPentatonic,5,11,10
minorPentatonic,5,12,12
minorPentatonic,5,47,46
minorPentatonic,5,60,60
minorPentatonic,5,61,60
minorPentatonic,5,66,65
minorPentatonic,5,71,70
minorPentatonic,5,127,128
minorPentatonic,5,128,128
minorPentatonic,5,140,140
minorPentatonic,7,-13,-14
minorPentatonic,7,-1,-2
minorPentatonic,7,0,0
minorPentatonic,7,1,0
minorPentatonic,7,11,10
minorPentatonic,7,12,12
minorPentatonic,7,47,46
minorPentatonic,7,60,60
minorPentatonic,7,61,60
minorPentatonic,7,66,67
minorPentatonic,7,71,70
minorPentatonic,7,127,127
minorPentatonic,7,128,127
minorPentatonic,7,140,139
minorPentatonic,11,-13,-13
minorPentatonic,11,-1,-1
minorPentatonic,11,0,-1
minorPentatonic,11,1,2
minorPentatonic,11,11,11
minorPentatonic,11,12,11
minorPentatonic,11,47,47
minorPentatonic,11,60,59
minorPentatonic,11,61,62
minorPentatonic,11,66,66
minorPentatonic,11,71,71
minorPentatonic,11,127,126
minorPentatonic,11,128,129
minorPentatonic,11,140,141
blues,0,-13,-12
blues,0,-1,0
blues,0,0,0
blues,0,1,0
blues,0,11,12
blues,0,12,12
blues,0,47,48
blues,0,60,60
blues,0,61,60
blues,0,66,66
blues,0,71,72
blues,0,127,127
blues,0,128,127
blues,0,140,139
blues,1,-13,-13
blues,1,-1,-1
blues,1,0,1
blues,1,1,1
blues,1,11,11
blues,1,12,13
blues,1,47,47
blues,1,60,61
blues,1,61,61
blues,1,66,66
blues,1,71,71
blues,1,127,127
blues,1,128,128
blues,1,140,140
blues,5,-13,-13
blues,5,-1,-1
blues,5,0,0
blues,5,1,0
blues,5,11,11
blues,5,12,12
blues,5,47,47
blues,5,60,60
blues,5,61,60
blues,5,66,65
blues,5,71,71
blues,5,127,128
blues,5,128,128
blues,5,140,140
blues,7,-13,-14
blues,7,-1,-2
blues,7,0,0
blues,7,1,1
blues,7,11,10
blues,7,12,12
blues,7,47,46
blues,7,60,60
blues,7,61,61
blues,7,66,67
blues,7,71,70
blues,7,127,127
blues,7,128,127
blues,7,140,139
blues,11,-13,-13
blues,11,-1,-1
blues,11,0,-1
blues,11,1,2
blues,11,11,11
blues,11,12,11
blues,11,47,47
blues,11,60,59
blues,11,61,62
blues,11,66,66
blues,11,71,71
blues,11,127,126
blues,11,128,129
blues,11,140,141
# snapToChord: scale,root,note,result
chromatic,0,-13,-12
chromatic,0,-1,0
chromatic,0,0,0
chromatic,0,1,0
chromatic,0,11,12
chromatic,0,12,12
chromatic,0,47,48
chromatic,0,60,60
chromatic,0,61,60
chromatic,0,66,67
chromatic,0,71,72
chromatic,0,127,127
chromatic,0,128,127
chromatic,0,140,139
chromatic,1,-13,-11
chromatic,1,-1,1
chromatic,1,0,1
chromatic,1,1,1
chromatic,1,11,13
chromatic,1,12,13
chromatic,1,47,49
chromatic,1,60,61
chromatic,1,61,61
chromatic,1,66,65
chromatic,1,71,73
chromatic,1,127,128
chromatic,1,128,128
chromatic,1,140,140
chromatic,5,-13,-12
chromatic,5,-1,0
chromatic,5,0,0
chromatic,5,1,0
chromatic,5,11,12
chromatic,5,12,12
chromatic,5,47,48
chromatic,5,60,60
chromatic,5,61,60
chromatic,5,66,65
chromatic,5,71,72
chromatic,5,127,125
chromatic,5,128,129
chromatic,5,140,141
chromatic,7,-13,-13
chromatic,7,-1,-1
chromatic,7,0,-1
chromatic,7,1,2
chromatic,7,11,11
chromatic,7,12,11
chromatic,7,47,47
chromatic,7,60,59
chromatic,7,61,62
chromatic,7,66,67
chromatic,7,71,71
chromatic,7,127,127
chromatic,7,128,127
chromatic,7,140,139
chromatic,11,-13,-13
chromatic,11,-1,-1
chromatic,11,0,-1
chromatic,11,1,-1
chromatic,11,11,11
chromatic,11,12,11
chromatic,11,47,47
chromatic,11,60,59
chromatic,11,61,59
chromatic,11,66,66
chromatic,11,71,71
chromatic,11,127,126
chromatic,11,128,126
chromatic,11,140,138
major,0,-13,-12
major,0,-1,0
major,0,0,0
major,0,1,0
major,0,11,12
major,0,12,12
major,0,47,48
major,0,60,60
major,0,61,60
major,0,66,67
major,0,71,72
major,0,127,127
major,0,128,127
major,0,140,139
major,1,-13,-11
major,1,-1,1
major,1,0,1
major,1,1,1
major,1,11,13
major,1,12,13
major,1,47,49
major,1,60,61
major,1,61,61
major,1,66,65
major,1,71,73
major,1,127,128
major,1,128,128
major,1,140,140
major,5,-13,-12
major,5,-1,0
major,5,0,0
major,5,1,0
major,5,11,12
major,5,12,12
major,5,47,48
major,5,60,60
major,5,61,60
major,5,66,65
major,5,71,72
major,5,127,125
major,5,128,129
major,5,140,141
major,7,-13,-13
major,7,-1,-1
major,7,0,-1
major,7,1,2
major,7,11,11
major,7,12,11
major,7,47,47
major,7,60,59
major,7,61,62
major,7,66,67
major,7,71,71
major,7,127,127
major,7,128,127
major,7,140,139
major,11,-13,-13
major,11,-1,-1
major,11,0,-1
major,11,1,-1
major,11,11,11
major,11,12,11
major,11,47,47
major,11,60,59
major,11,61,59
major,11,66,66
major,11,71,71
major,11,127,126
major,11,128,126
major,11,140,138
minor,0,-13,-12
minor,0,-1,0
minor,0,0,0
minor,0,1,0
minor,0,11,12
minor,0,12,12
minor,0,47,48
minor,0,60,60
minor,0,61,60
minor,0,66,67
minor,0,71,72
minor,0,127,127
minor,0,128,127
minor,0,140,139
minor,1,-13,-11
minor,1,-1,1
minor,1,0,1
minor,1,1,1
minor,1,11,13
minor,1,12,13
minor,1,47,49
minor,1,60,61
minor,1,61,61
minor,1,66,64
minor,1,71,73
minor,1,127,128
minor,1,128,128
minor,1,140,140
minor,5,-13,-12
minor,5,-1,0
minor,5,0,0
minor,5,1,0
minor,5,11,12
minor,5,12,12
minor,5,47,48
minor,5,60,60
minor,5,61,60
minor,5,66,65
minor,5,71,72
minor,5,127,128
minor,5,128,128
minor,5,140,140
minor,7,-13,-14
minor,7,-1,-2
minor,7,0,-2
minor,7,1,2
minor,7,11,10
minor,7,12,10
minor,7,47,46
minor,7,60,58
minor,7,61,62
minor,7,66,67
minor,7,71,70
minor,7,127,127
minor,7,128,127
minor,7,140,139
minor,11,-13,-13
minor,11,-1,-1
minor,11,0,-1
minor,11,1,2
minor,11,11,11
minor,11,12,11
minor,11,47,47
minor,11,60,59
minor,11,61,62
minor,11,66,66
minor,11,71,71
minor,11,127,126
minor,11,128,126
minor,11,140,138
dorian,0,-13,-12
dorian,0,-1,0
dorian,0,0,0
dorian,0,1,0
dorian,0,11,12
dorian,0,12,12
dorian,0,47,48
dorian,0,60,60
dorian,0,61,60
dorian,0,66,67
dorian,0,71,72
dorian,0,127,127
dorian,0,128,127
dorian,0,140,139
dorian,1,-13,-11
dorian,1,-1,1
dorian,1,0,1
dorian,1,1,1
dorian,1,11,13
dorian,1,12,13
dorian,1,47,49
dorian,1,60,61
dorian,1,61,61
dorian,1,66,64
dorian,1,71,73
dorian,1,127,128
dorian,1,128,128
dorian,1,140,140
dorian,5,-13,-12
dorian,5,-1,0
dorian,5,0,0
dorian,5,1,0
dorian,5,11,12
dorian,5,12,12
dorian,5,47,48
dorian,5,60,60
dorian,5,61,60
dorian,5,66,65
dorian,5,71,72
dorian,5,127,128
dorian,5,128,128
dorian,5,140,140
dorian,7,-13,-14
dorian,7,-1,-2
dorian,7,0,-2
dorian,7,1,2
dorian,7,11,10
dorian,7,12,10
dorian,7,47,46
dorian,7,60,58
dorian,7,61,62
dorian,7,66,67
dorian,7,71,70
dorian,7,127,127
dorian,7,128,127
dorian,7,140,139
dorian,11,-13,-13
dorian,11,-1,-1
dorian,11,0,-1
dorian,11,1,2
dorian,11,11,11
dorian,11,12,11
dorian,11,47,47
dorian,11,60,59
dorian,11,61,62
dorian,11,66,66
dorian,11,71,71
dorian,11,127,126
dorian,11,128,126
dorian,11,140,138
mixolydian,0,-13,-12
mixolydian,0,-1,0
mixolydian,0,0,0
mixolydian,0,1,0
mixolydian,0,11,12
mixolydian,0,12,12
mixolydian,0,47,48
mixolydian,0,60,60
mixolydian,0,61,60
mixolydian,0,66,67
mixolydian,0,71,72
mixolydian,0,127,127
mixolydian,0,128,127
mixolydian,0,140,139
mixolydian,1,-13,-11
mixolydian,1,-1,1
mixolydian,1,0,1
mixolydian,1,1,1
mixolydian,1,11,13
mixolydian,1,12,13
mixolydian,1,47,49
mixolydian,1,60,61
mixolydian,1,61,61
mixolydian,1,66,65
mixolydian,1,71,73
mixolydian,1,127,128
mixolydian,1,128,128
mixolydian,1,140,140
mixolydian,5,-13,-12
mixolydian,5,-1,0
mixolydian,5,0,0
mixolydian,5,1,0
mixolydian,5,11,12
mixolydian,5,12,12
mixolydian,5,47,48
mixolydian,5,60,60
mixolydian,5,61,60
mixolydian,5,66,65
mixolydian,5,71,72
mixolydian,5,127,125
mixolydian,5,128,129
mixolydian,5,140,141
mixolydian,7,-13,-13
mixolydian,7,-1,-1
mixolydian,7,0,-1
mixolydian,7,1,2
mixolydian,7,11,11
mixolydian,7,12,11
mixolydian,7,47,47
mixolydian,7,60,59
mixolydian,7,61,62
mixolydian,7,66,67
mixolydian,7,71,71
mixolydian,7,127,127
mixolydian,7,128,127
mixolydian,7,140,139
mixolydian,11,-13,-13
mixolydian,11,-1,-1
mixolydian,11,0,-1
mixolydian,11,1,-1
mixolydian,11,11,11
mixolydian,11,12,11
mixolydian,11,47,47
mixolydian,11,60,59
mixolydian,11,61,59
mixolydian,11,66,66
mixolydian,11,71,71
mixolydian,11,127,126
mixolydian,11,128,126
mixolydian,11,140,138
lydian,0,-13,-12
lydian,0,-1,0
lydian,0,0,0
lydian,0,1,0
lydian,0,11,12
lydian,0,12,12
lydian,0,47,48
lydian,0,60,60
lydian,0,61,60
lydian,0,66,67
lydian,0,71,72
lydian,0,127,127
lydian,0,128,127
lydian,0,140,139
lydian,1,-13,-11
lydian,1,-1,1
lydian,1,0,1
lydian,1,1,1
lydian,1,11,13
lydian,1,12,13
lydian,1,47,49
lydian,1,60,61
lydian,1,61,61
lydian,1,66,65
lydian,1,71,73
lydian,1,127,128
lydian,1,128,128
lydian,1,140,140
lydian,5,-13,-12
lydian,5,-1,0
lydian,5,0,0
lydian,5,1,0
lydian,5,11,12
lydian,5,12,12
lydian,5,47,48
lydian,5,60,60
lydian,5,61,60
lydian,5,66,65
lydian,5,71,72
lydian,5,127,125
lydian,5,128,129
lydian,5,140,141
lydian,7,-13,-13
lydian,7,-1,-1
lydian,7,0,-1
lydian,7,1,2
lydian,7,11,11
lydian,7,12,11
lydian,7,47,47
lydian,7,60,59
lydian,7,61,62
lydian,7,66,67
lydian,7,71,71
lydian,7,127,127
lydian,7,128,127
lydian,7,140,139
lydian,11,-13,-13
lydian,11,-1,-1
lydian,11,0,-1
lydian,11,1,-1
lydian,11,11,11
lydian,11,12,11
lydian,11,47,47
lydian,11,60,59
lydian,11,61,59
lydian,11,66,66
lydian,11,71,71
lydian,11,127,126
lydian,11,128,126
lydian,11,140,138
phrygian,0,-13,-12
phrygian,0,-1,0
phrygian,0,0,0
phrygian,0,1,0
phrygian,0,11,12
phrygian,0,12,12
phrygian,0,47,48
phrygian,0,60,60
phrygian,0,61,60
phrygian,0,66,67
phrygian,0,71,72
phrygian,0,127,127
phrygian,0,128,127
phrygian,0,140,139
phrygian,1,-13,-11
phrygian,1,-1,1
phrygian,1,0,1
phrygian,1,1,1
phrygian,1,11,13
phrygian,1,12,13
phrygian,1,47,49
phrygian,1,60,61
phrygian,1,61,61
phrygian,1,66,64
phrygian,1,71,73
phrygian,1,127,128
phrygian,1,128,128
phrygian,1,140,140
phrygian,5,-13,-12
phrygian,5,-1,0
phrygian,5,0,0
phrygian,5,1,0
phrygian,5,11,12
