# Time Distortion Map conformance fixture - regenerate with scripts/goldens.ts
# maps: id|length|denominator|x:y;x:y;...
neutral|1|4|
diagonal-explicit|1|4|0.5:0.5
slow-then-fast|1|4|0.5:0.25
fast-then-slow|2|8|0.5:0.75
s-curve|4|4|0.25:0.1;0.75:0.9
unordered|1|1|0.8:0.6;0.2:0.3;0.5:0.5
doubling-back|8|16|0.6:0.7;0.4:0.2
out-of-range|3|2|-0.5:1.5;1.5:-0.5
zero-width-span|1|4|0.5:0.2;0.5:0.8
step|16|4|0.5:0;0.5:1
barely-neutral|1|4|0.5:0.5000000005
barely-not-neutral|1|4|0.5:0.500000002
# normalizeTimeMap: id,index,x_bits,y_bits
diagonal-explicit,0,3fe0000000000000,3fe0000000000000
slow-then-fast,0,3fe0000000000000,3fd0000000000000
fast-then-slow,0,3fe0000000000000,3fe8000000000000
s-curve,0,3fd0000000000000,3fb999999999999a
s-curve,1,3fe8000000000000,3feccccccccccccd
unordered,0,3fc999999999999a,3fd3333333333333
unordered,1,3fe0000000000000,3fe0000000000000
unordered,2,3fe999999999999a,3fe3333333333333
doubling-back,0,3fd999999999999a,3fc999999999999a
doubling-back,1,3fe3333333333333,3fe6666666666666
out-of-range,0,0000000000000000,3ff0000000000000
out-of-range,1,3ff0000000000000,3ff0000000000000
zero-width-span,0,3fe0000000000000,3fc999999999999a
zero-width-span,1,3fe0000000000000,3fe999999999999a
step,0,3fe0000000000000,0000000000000000
step,1,3fe0000000000000,3ff0000000000000
barely-neutral,0,3fe0000000000000,3fe000000044b830
barely-not-neutral,0,3fe0000000000000,3fe000000112e0bf
# isNeutralTimeMap: id,value
neutral,1
diagonal-explicit,1
slow-then-fast,0
fast-then-slow,0
s-curve,0
unordered,0
doubling-back,0
out-of-range,0
zero-width-span,0
step,0
barely-neutral,1
barely-not-neutral,0
# realToClock: id,phase_bits,result_bits
fast-then-slow,3fe3333333333333,3fe999999999999a
fast-then-slow,3fe8000000000000,3fec000000000000
fast-then-slow,3feccccccccccccd,3fee666666666666
fast-then-slow,3ff0000000000000,3ff0000000000000
fast-then-slow,3ff8000000000000,3ff0000000000000
fast-then-slow,bfd0000000000000,0000000000000000
s-curve,0000000000000000,0000000000000000
s-curve,3fb999999999999a,3fa47ae147ae147c
s-curve,3fd0000000000000,3fb999999999999a
s-curve,3fd999999999999a,3fd5c28f5c28f5c4
s-curve,3fe0000000000000,3fe0000000000000
s-curve,3fe3333333333333,3fe51eb851eb851e
s-curve,3fe8000000000000,3feccccccccccccd
s-curve,3feccccccccccccd,3feeb851eb851eb8
s-curve,3ff0000000000000,3ff0000000000000
s-curve,3ff8000000000000,3ff0000000000000
s-curve,bfd0000000000000,0000000000000000
unordered,0000000000000000,0000000000000000
unordered,3fb999999999999a,3fc3333333333333
unordered,3fd0000000000000,3fd5555555555555
unordered,3fd999999999999a,3fdbbbbbbbbbbbbc
unordered,3fe0000000000000,3fe0000000000000
unordered,3fe3333333333333,3fe1111111111111
unordered,3fe8000000000000,3fe2aaaaaaaaaaaa
unordered,3feccccccccccccd,3fe999999999999a
unordered,3ff0000000000000,3ff0000000000000
unordered,3ff8000000000000,3ff0000000000000
unordered,bfd0000000000000,0000000000000000
doubling-back,0000000000000000,0000000000000000
doubling-back,3fb999999999999a,3fa999999999999a
doubling-back,3fd0000000000000,3fc0000000000000
doubling-back,3fd999999999999a,3fc999999999999a
doubling-back,3fe0000000000000,3fdccccccccccccc
doubling-back,3fe3333333333333,3fe6666666666666
doubling-back,3fe8000000000000,3fea000000000000
doubling-back,3feccccccccccccd,3fed99999999999a
doubling-back,3ff0000000000000,3ff0000000000000
doubling-back,3ff8000000000000,3ff0000000000000
doubling-back,bfd0000000000000,0000000000000000
out-of-range,0000000000000000,0000000000000000
out-of-range,3fb999999999999a,3ff0000000000000
out-of-range,3fd0000000000000,3ff0000000000000
out-of-range,3fd999999999999a,3ff0000000000000
out-of-range,3fe0000000000000,3ff0000000000000
out-of-range,3fe3333333333333,3ff0000000000000
out-of-range,3fe8000000000000,3ff0000000000000
out-of-range,3feccccccccccccd,3ff0000000000000
out-of-range,3ff0000000000000,3ff0000000000000
out-of-range,3ff8000000000000,3ff0000000000000
out-of-range,bfd0000000000000,0000000000000000
zero-width-span,0000000000000000,0000000000000000
zero-width-span,3fb999999999999a,3fa47ae147ae147c
zero-width-span,3fd0000000000000,3fb999999999999a
zero-width-span,3fd999999999999a,3fc47ae147ae147c
zero-width-span,3fe0000000000000,3fc999999999999a
zero-width-span,3fe3333333333333,3feae147ae147ae2
zero-width-span,3fe8000000000000,3feccccccccccccd
zero-width-span,3feccccccccccccd,3feeb851eb851eb8
zero-width-span,3ff0000000000000,3ff0000000000000
zero-width-span,3ff8000000000000,3ff0000000000000
zero-width-span,bfd0000000000000,0000000000000000
step,0000000000000000,0000000000000000
step,3fb999999999999a,0000000000000000
step,3fd0000000000000,0000000000000000
step,3fd999999999999a,0000000000000000
step,3fe0000000000000,0000000000000000
step,3fe3333333333333,3ff0000000000000
step,3fe8000000000000,3ff0000000000000
step,3feccccccccccccd,3ff0000000000000
step,3ff0000000000000,3ff0000000000000
step,3ff8000000000000,3ff0000000000000
step,bfd0000000000000,0000000000000000
barely-neutral,0000000000000000,0000000000000000
barely-neutral,3fb999999999999a,3fb999999a078d1a
barely-neutral,3fd0000000000000,3fd000000044b830
barely-neutral,3fd999999999999a,3fd999999a078d1a
barely-neutral,3fe0000000000000,3fe000000044b830
barely-neutral,3fe3333333333333,3fe33333336a2cf3
barely-neutral,3fe8000000000000,3fe8000000225c18
barely-neutral,3feccccccccccccd,3fecccccccda8b3d
barely-neutral,3ff0000000000000,3ff0000000000000
barely-neutral,3ff8000000000000,3ff0000000000000
barely-neutral,bfd0000000000000,0000000000000000
barely-not-neutral,0000000000000000,0000000000000000
barely-not-neutral,3fb999999999999a,3fb999999b516798
barely-not-neutral,3fd0000000000000,3fd000000112e0bf
barely-not-neutral,3fd999999999999a,3fd999999b516798
barely-not-neutral,3fe0000000000000,3fe000000112e0bf
barely-not-neutral,3fe3333333333333,3fe33333340f1a32
barely-not-neutral,3fe8000000000000,3fe8000000897060
barely-not-neutral,3feccccccccccccd,3feccccccd03c68d
barely-not-neutral,3ff0000000000000,3ff0000000000000
barely-not-neutral,3ff8000000000000,3ff0000000000000
barely-not-neutral,bfd0000000000000,0000000000000000
# clockToReal: id,phase_bits,result_bits
neutral,0000000000000000,0000000000000000
neutral,3fb999999999999a,3fb999999999999a
neutral,3fd0000000000000,3fd0000000000000
neutral,3fd999999999999a,3fd999999999999a
neutral,3fe0000000000000,3fe0000000000000
neutral,3fe3333333333333,3fe3333333333333
neutral,3fe8000000000000,3fe8000000000000
neutral,3feccccccccccccd,3feccccccccccccd
neutral,3ff0000000000000,3ff0000000000000
neutral,3ff8000000000000,3ff0000000000000
neutral,bfd0000000000000,0000000000000000
diagonal-explicit,0000000000000000,0000000000000000
diagonal-explicit,3fb999999999999a,3fb999999999999a
diagonal-explicit,3fd0000000000000,3fd0000000000000
diagonal-explicit,3fd999999999999a,3fd999999999999a
diagonal-explicit,3fe0000000000000,3fe0000000000000
diagonal-explicit,3fe3333333333333,3fe3333333333333
diagonal-explicit,3fe8000000000000,3fe8000000000000
diagonal-explicit,3feccccccccccccd,3feccccccccccccd
diagonal-explicit,3ff0000000000000,3ff0000000000000
diagonal-explicit,3ff8000000000000,3ff0000000000000
diagonal-explicit,bfd0000000000000,0000000000000000
slow-then-fast,0000000000000000,0000000000000000
slow-then-fast,3fb999999999999a,3fc999999999999a
slow-then-fast,3fd0000000000000,3fe0000000000000
slow-then-fast,3fd999999999999a,3fe3333333333333
slow-then-fast,3fe0000000000000,3fe5555555555555
slow-then-fast,3fe3333333333333,3fe7777777777777
slow-then-fast,3fe8000000000000,3feaaaaaaaaaaaaa
slow-then-fast,3feccccccccccccd,3fedddddddddddde
slow-then-fast,3ff0000000000000,3ff0000000000000
slow-then-fast,3ff8000000000000,3ff0000000000000
slow-then-fast,bfd0000000000000,0000000000000000
fast-then-slow,0000000000000000,0000000000000000
fast-then-slow,3fb999999999999a,3fb1111111111111
fast-then-slow,3fd0000000000000,3fc5555555555555
fast-then-slow,3fd999999999999a,3fd1111111111111
fast-then-slow,3fe0000000000000,3fd5555555555555
fast-then-slow,3fe3333333333333,3fd9999999999999
fast-then-slow,3fe8000000000000,3fe0000000000000
fast-then-slow,3feccccccccccccd,3fe999999999999a
fast-then-slow,3ff0000000000000,3ff0000000000000
fast-then-slow,3ff8000000000000,3ff0000000000000
fast-then-slow,bfd0000000000000,0000000000000000
s-curve,0000000000000000,0000000000000000
s-curve,3fb999999999999a,3fd0000000000000
s-curve,3fd0000000000000,3fd6000000000000
s-curve,3fd999999999999a,3fdc000000000000
s-curve,3fe0000000000000,3fe0000000000000
s-curve,3fe3333333333333,3fe2000000000000
s-curve,3fe8000000000000,3fe5000000000000
s-curve,3feccccccccccccd,3fe8000000000000
s-curve,3ff0000000000000,3ff0000000000000
s-curve,3ff8000000000000,3ff0000000000000
s-curve,bfd0000000000000,0000000000000000
unordered,0000000000000000,0000000000000000
unordered,3fb999999999999a,3fb1111111111112
unordered,3fd0000000000000,3fc5555555555556
unordered,3fd999999999999a,3fd6666666666667
unordered,3fe0000000000000,3fe0000000000000
unordered,3fe3333333333333,3fe999999999999a
unordered,3fe8000000000000,3fec000000000000
unordered,3feccccccccccccd,3fee666666666667
unordered,3ff0000000000000,3ff0000000000000
unordered,3ff8000000000000,3ff0000000000000
unordered,bfd0000000000000,0000000000000000
doubling-back,0000000000000000,0000000000000000
doubling-back,3fb999999999999a,3fc999999999999a
doubling-back,3fd0000000000000,3fdae147ae147ae2
doubling-back,3fd999999999999a,3fdeb851eb851eb9
doubling-back,3fe0000000000000,3fe0a3d70a3d70a4
doubling-back,3fe3333333333333,3fe1eb851eb851ec
doubling-back,3fe8000000000000,3fe5555555555556
doubling-back,3feccccccccccccd,3febbbbbbbbbbbbc
doubling-back,3ff0000000000000,3ff0000000000000
doubling-back,3ff8000000000000,3ff0000000000000
doubling-back,bfd0000000000000,0000000000000000
out-of-range,0000000000000000,0000000000000000
out-of-range,3fb999999999999a,0000000000000000
out-of-range,3fd0000000000000,0000000000000000
out-of-range,3fd999999999999a,0000000000000000
out-of-range,3fe0000000000000,0000000000000000
out-of-range,3fe3333333333333,0000000000000000
out-of-range,3fe8000000000000,0000000000000000
out-of-range,3feccccccccccccd,0000000000000000
out-of-range,3ff0000000000000,0000000000000000
out-of-range,3ff8000000000000,0000000000000000
out-of-range,bfd0000000000000,0000000000000000
zero-width-span,0000000000000000,0000000000000000
zero-width-span,3fb999999999999a,3fd0000000000000
zero-width-span,3fd0000000000000,3fe0000000000000
zero-width-span,3fd999999999999a,3fe0000000000000
zero-width-span,3fe0000000000000,3fe0000000000000
zero-width-span,3fe3333333333333,3fe0000000000000
zero-width-span,3fe8000000000000,3fe0000000000000
zero-width-span,3feccccccccccccd,3fe8000000000000
zero-width-span,3ff0000000000000,3ff0000000000000
zero-width-span,3ff8000000000000,3ff0000000000000
zero-width-span,bfd0000000000000,0000000000000000
step,0000000000000000,0000000000000000
step,3fb999999999999a,3fe0000000000000
step,3fd0000000000000,3fe0000000000000
step,3fd999999999999a,3fe0000000000000
step,3fe0000000000000,3fe0000000000000
step,3fe3333333333333,3fe0000000000000
step,3fe8000000000000,3fe0000000000000
step,3feccccccccccccd,3fe0000000000000
step,3ff0000000000000,3fe0000000000000
step,3ff8000000000000,3fe0000000000000
step,bfd0000000000000,0000000000000000
barely-neutral,0000000000000000,0000000000000000
barely-neutral,3fb999999999999a,3fb99999992ba61a
barely-neutral,3fd0000000000000,3fcfffffff768fa0
barely-neutral,3fd999999999999a,3fd99999992ba61a
barely-neutral,3fe0000000000000,3fdfffffff768fa0
barely-neutral,3fe3333333333333,3fe3333332fc3973
barely-neutral,3fe8000000000000,3fe7ffffffdda3e8
barely-neutral,3feccccccccccccd,3fecccccccbf0e5d
barely-neutral,3ff0000000000000,3ff0000000000000
barely-neutral,3ff8000000000000,3ff0000000000000
barely-neutral,bfd0000000000000,0000000000000000
barely-not-neutral,0000000000000000,0000000000000000
barely-not-neutral,3fb999999999999a,3fb9999997e1cb9c
barely-not-neutral,3fd0000000000000,3fcffffffdda3e82
barely-not-neutral,3fd999999999999a,3fd9999997e1cb9c
barely-not-neutral,3fe0000000000000,3fdffffffdda3e82
barely-not-neutral,3fe3333333333333,3fe3333332574c34
barely-not-neutral,3fe8000000000000,3fe7ffffff768fa0
barely-not-neutral,3feccccccccccccd,3feccccccc95d30d
barely-not-neutral,3ff0000000000000,3ff0000000000000
barely-not-neutral,3ff8000000000000,3ff0000000000000
barely-not-neutral,bfd0000000000000,0000000000000000
# timeMapSeconds: id,tempo_bits,result_bits
neutral,405e000000000000,3fe0000000000000
neutral,404e000000000000,3ff0000000000000
neutral,4040aaaaaaaaaaab,3ffccccccccccccc
neutral,406e000000000000,3fd0000000000000
neutral,0000000000000000,0000000000000000
neutral,c024000000000000,0000000000000000
diagonal-explicit,405e000000000000,3fe0000000000000
diagonal-explicit,404e000000000000,3ff0000000000000
diagonal-explicit,4040aaaaaaaaaaab,3ffccccccccccccc
diagonal-explicit,406e000000000000,3fd0000000000000
diagonal-explicit,0000000000000000,0000000000000000
diagonal-explicit,c024000000000000,0000000000000000
slow-then-fast,405e000000000000,3fe0000000000000
slow-then-fast,404e000000000000,3ff0000000000000
slow-then-fast,4040aaaaaaaaaaab,3ffccccccccccccc
slow-then-fast,406e000000000000,3fd0000000000000
slow-then-fast,0000000000000000,0000000000000000
slow-then-fast,c024000000000000,0000000000000000
fast-then-slow,405e000000000000,3fe0000000000000
fast-then-slow,404e000000000000,3ff0000000000000
fast-then-slow,4040aaaaaaaaaaab,3ffccccccccccccc
fast-then-slow,406e000000000000,3fd0000000000000
fast-then-slow,0000000000000000,0000000000000000
fast-then-slow,c024000000000000,0000000000000000
s-curve,405e000000000000,4000000000000000
s-curve,404e000000000000,4010000000000000
s-curve,4040aaaaaaaaaaab,401ccccccccccccc
s-curve,406e000000000000,3ff0000000000000
s-curve,0000000000000000,0000000000000000
s-curve,c024000000000000,0000000000000000
unordered,405e000000000000,4000000000000000
unordered,404e000000000000,4010000000000000
unordered,4040aaaaaaaaaaab,401ccccccccccccc
unordered,406e000000000000,3ff0000000000000
unordered,0000000000000000,0000000000000000
unordered,c024000000000000,0000000000000000
doubling-back,405e000000000000,3ff0000000000000
doubling-back,404e000000000000,4000000000000000
doubling-back,4040aaaaaaaaaaab,400ccccccccccccc
doubling-back,406e000000000000,3fe0000000000000
doubling-back,0000000000000000,0000000000000000
doubling-back,c024000000000000,0000000000000000
out-of-range,405e000000000000,4008000000000000
out-of-range,404e000000000000,4018000000000000
out-of-range,4040aaaaaaaaaaab,4025999999999999
out-of-range,406e000000000000,3ff8000000000000
out-of-range,0000000000000000,0000000000000000
out-of-range,c024000000000000,0000000000000000
zero-width-span,405e000000000000,3fe0000000000000
zero-width-span,404e000000000000,3ff0000000000000
zero-width-span,4040aaaaaaaaaaab,3ffccccccccccccc
zero-width-span,406e000000000000,3fd0000000000000
zero-width-span,0000000000000000,0000000000000000
zero-width-span,c024000000000000,0000000000000000
step,405e000000000000,4020000000000000
step,404e000000000000,4030000000000000
step,4040aaaaaaaaaaab,403ccccccccccccc
step,406e000000000000,4010000000000000
step,0000000000000000,0000000000000000
step,c024000000000000,0000000000000000
barely-neutral,405e000000000000,3fe0000000000000
barely-neutral,404e000000000000,3ff0000000000000
barely-neutral,4040aaaaaaaaaaab,3ffccccccccccccc
barely-neutral,406e000000000000,3fd0000000000000
barely-neutral,0000000000000000,0000000000000000
barely-neutral,c024000000000000,0000000000000000
barely-not-neutral,405e000000000000,3fe0000000000000
barely-not-neutral,404e000000000000,3ff0000000000000
barely-not-neutral,4040aaaaaaaaaaab,3ffccccccccccccc
barely-not-neutral,406e000000000000,3fd0000000000000
barely-not-neutral,0000000000000000,0000000000000000
barely-not-neutral,c024000000000000,0000000000000000
# distortClockSeconds: id,tempo_bits,clock_bits,result_bits
neutral,405e000000000000,0000000000000000,0000000000000000
neutral,405e000000000000,3fc0000000000000,3fc0000000000000
neutral,405e000000000000,3fe0000000000000,3fe0000000000000
neutral,405e000000000000,3ff0000000000000,3ff0000000000000
neutral,405e000000000000,3ffc000000000000,3ffc000000000000
neutral,405e000000000000,400c000000000000,400c000000000000
neutral,405e000000000000,4024000000000000,4024000000000000
neutral,405e000000000000,bff0000000000000,bff0000000000000
neutral,404e000000000000,0000000000000000,0000000000000000
neutral,404e000000000000,3fc0000000000000,3fc0000000000000
neutral,404e000000000000,3fe0000000000000,3fe0000000000000
neutral,404e000000000000,3ff0000000000000,3ff0000000000000
neutral,404e000000000000,3ffc000000000000,3ffc000000000000
neutral,404e000000000000,400c000000000000,400c000000000000
neutral,404e000000000000,4024000000000000,4024000000000000
neutral,404e000000000000,bff0000000000000,bff0000000000000
neutral,4040aaaaaaaaaaab,0000000000000000,0000000000000000
neutral,4040aaaaaaaaaaab,3fc0000000000000,3fc0000000000000
neutral,4040aaaaaaaaaaab,3fe0000000000000,3fe0000000000000
neutral,4040aaaaaaaaaaab,3ff0000000000000,3ff0000000000000
neutral,4040aaaaaaaaaaab,3ffc000000000000,3ffc000000000000
neutral,4040aaaaaaaaaaab,400c000000000000,400c000000000000
neutral,4040aaaaaaaaaaab,4024000000000000,4024000000000000
neutral,4040aaaaaaaaaaab,bff0000000000000,bff0000000000000
neutral,406e000000000000,0000000000000000,0000000000000000
neutral,406e000000000000,3fc0000000000000,3fc0000000000000
neutral,406e000000000000,3fe0000000000000,3fe0000000000000
neutral,406e000000000000,3ff0000000000000,3ff0000000000000
neutral,406e000000000000,3ffc000000000000,3ffc000000000000
neutral,406e000000000000,400c000000000000,400c000000000000
neutral,406e000000000000,4024000000000000,4024000000000000
neutral,406e000000000000,bff0000000000000,bff0000000000000
neutral,0000000000000000,0000000000000000,0000000000000000
neutral,0000000000000000,3fc0000000000000,3fc0000000000000
neutral,0000000000000000,3fe0000000000000,3fe0000000000000
neutral,0000000000000000,3ff0000000000000,3ff0000000000000
neutral,0000000000000000,3ffc000000000000,3ffc000000000000
neutral,0000000000000000,400c000000000000,400c000000000000
neutral,0000000000000000,4024000000000000,4024000000000000
neutral,0000000000000000,bff0000000000000,bff0000000000000
neutral,c024000000000000,0000000000000000,0000000000000000
neutral,c024000000000000,3fc0000000000000,3fc0000000000000
neutral,c024000000000000,3fe0000000000000,3fe0000000000000
neutral,c024000000000000,3ff0000000000000,3ff0000000000000
neutral,c024000000000000,3ffc000000000000,3ffc000000000000
neutral,c024000000000000,400c000000000000,400c000000000000
neutral,c024000000000000,4024000000000000,4024000000000000
neutral,c024000000000000,bff0000000000000,bff0000000000000
diagonal-explicit,405e000000000000,0000000000000000,0000000000000000
diagonal-explicit,405e000000000000,3fc0000000000000,3fc0000000000000
diagonal-explicit,405e000000000000,3fe0000000000000,3fe0000000000000
diagonal-explicit,405e000000000000,3ff0000000000000,3ff0000000000000
diagonal-explicit,405e000000000000,3ffc000000000000,3ffc000000000000
diagonal-explicit,405e000000000000,400c000000000000,400c000000000000
diagonal-explicit,405e000000000000,4024000000000000,4024000000000000
diagonal-explicit,405e000000000000,bff0000000000000,bff0000000000000
diagonal-explicit,404e000000000000,0000000000000000,0000000000000000
diagonal-explicit,404e000000000000,3fc0000000000000,3fc0000000000000
diagonal-explicit,404e000000000000,3fe0000000000000,3fe0000000000000
diagonal-explicit,404e000000000000,3ff0000000000000,3ff0000000000000
diagonal-explicit,404e000000000000,3ffc000000000000,3ffc000000000000
diagonal-explicit,404e000000000000,400c000000000000,400c000000000000
diagonal-explicit,404e000000000000,4024000000000000,4024000000000000
diagonal-explicit,404e000000000000,bff0000000000000,bff0000000000000
diagonal-explicit,4040aaaaaaaaaaab,0000000000000000,0000000000000000
diagonal-explicit,4040aaaaaaaaaaab,3fc0000000000000,3fc0000000000000
diagonal-explicit,4040aaaaaaaaaaab,3fe0000000000000,3fe0000000000000
diagonal-explicit,4040aaaaaaaaaaab,3ff0000000000000,3ff0000000000000
diagonal-explicit,4040aaaaaaaaaaab,3ffc000000000000,3ffc000000000000
diagonal-explicit,4040aaaaaaaaaaab,400c000000000000,400c000000000000
diagonal-explicit,4040aaaaaaaaaaab,4024000000000000,4024000000000000
diagonal-explicit,4040aaaaaaaaaaab,bff0000000000000,bff0000000000000
diagonal-explicit,406e000000000000,0000000000000000,0000000000000000
diagonal-explicit,406e000000000000,3fc0000000000000,3fc0000000000000
diagonal-explicit,406e000000000000,3fe0000000000000,3fe0000000000000
diagonal-explicit,406e000000000000,3ff0000000000000,3ff0000000000000
diagonal-explicit,406e000000000000,3ffc000000000000,3ffc000000000000
diagonal-explicit,406e000000000000,400c000000000000,400c000000000000
diagonal-explicit,406e000000000000,4024000000000000,4024000000000000
diagonal-explicit,406e000000000000,bff0000000000000,bff0000000000000
diagonal-explicit,0000000000000000,0000000000000000,0000000000000000
diagonal-explicit,0000000000000000,3fc0000000000000,3fc0000000000000
diagonal-explicit,0000000000000000,3fe0000000000000,3fe0000000000000
diagonal-explicit,0000000000000000,3ff0000000000000,3ff0000000000000
diagonal-explicit,0000000000000000,3ffc000000000000,3ffc000000000000
diagonal-explicit,0000000000000000,400c000000000000,400c000000000000
diagonal-explicit,0000000000000000,4024000000000000,4024000000000000
diagonal-explicit,0000000000000000,bff0000000000000,bff0000000000000
diagonal-explicit,c024000000000000,0000000000000000,0000000000000000
diagonal-explicit,c024000000000000,3fc0000000000000,3fc0000000000000
diagonal-explicit,c024000000000000,3fe0000000000000,3fe0000000000000
diagonal-explicit,c024000000000000,3ff0000000000000,3ff0000000000000
diagonal-explicit,c024000000000000,3ffc000000000000,3ffc000000000000
diagonal-explicit,c024000000000000,400c000000000000,400c000000000000
diagonal-explicit,c024000000000000,4024000000000000,4024000000000000
diagonal-explicit,c024000000000000,bff0000000000000,bff0000000000000
slow-then-fast,405e000000000000,0000000000000000,0000000000000000
slow-then-fast,405e000000000000,3fc0000000000000,3fd0000000000000
slow-then-fast,405e000000000000,3fe0000000000000,3fe0000000000000
slow-then-fast,405e000000000000,3ff0000000000000,3ff0000000000000
slow-then-fast,405e000000000000,3ffc000000000000,3ffd555555555555
slow-then-fast,405e000000000000,400c000000000000,400c000000000000
slow-then-fast,405e000000000000,4024000000000000,4024000000000000
slow-then-fast,405e000000000000,bff0000000000000,bff0000000000000
slow-then-fast,404e000000000000,0000000000000000,0000000000000000
slow-then-fast,404e000000000000,3fc0000000000000,3fd0000000000000
slow-then-fast,404e000000000000,3fe0000000000000,3fe5555555555555
slow-then-fast,404e000000000000,3ff0000000000000,3ff0000000000000
slow-then-fast,404e000000000000,3ffc000000000000,3ffd555555555555
slow-then-fast,404e000000000000,400c000000000000,400d555555555555
slow-then-fast,404e000000000000,4024000000000000,4024000000000000
slow-then-fast,404e000000000000,bff0000000000000,bff0000000000000
slow-then-fast,4040aaaaaaaaaaab,0000000000000000,0000000000000000
slow-then-fast,4040aaaaaaaaaaab,3fc0000000000000,3fd0000000000000
slow-then-fast,4040aaaaaaaaaaab,3fe0000000000000,3feddddddddddddd
slow-then-fast,4040aaaaaaaaaaab,3ff0000000000000,3ff4444444444444
slow-then-fast,4040aaaaaaaaaaab,3ffc000000000000,3ffc444444444445
slow-then-fast,4040aaaaaaaaaaab,400c000000000000,400c444444444444
slow-then-fast,4040aaaaaaaaaaab,4024000000000000,4024888888888888
slow-then-fast,4040aaaaaaaaaaab,bff0000000000000,bff0000000000000
slow-then-fast,406e000000000000,0000000000000000,0000000000000000
slow-then-fast,406e000000000000,3fc0000000000000,3fc5555555555555
slow-then-fast,406e000000000000,3fe0000000000000,3fe0000000000000
slow-then-fast,406e000000000000,3ff0000000000000,3ff0000000000000
slow-then-fast,406e000000000000,3ffc000000000000,3ffc000000000000
slow-then-fast,406e000000000000,400c000000000000,400c000000000000
slow-then-fast,406e000000000000,4024000000000000,4024000000000000
