# transform conformance fixture - regenerate with npm run goldens
# stepDurationSeconds: tempo_bits,numerator_bits,denominator_bits,result_bits
original,1,1,8,0,9,0,3fe0000000000000
original,1,1,9,0,10,0,3fe0000000000000
original,1,1,10,0,11,0,3fe0000000000000
original,1,1,11,0,12,0,3fe0000000000000
original,1,4,0,0,1,0,3fe0000000000000
original,1,4,1,1,2,1,3fe0000000000000
original,1,4,2,2,3,2,3fe0000000000000
original,1,4,3,3,4,3,3fe0000000000000
original,1,4,4,0,5,0,3fe0000000000000
original,1,4,5,1,6,1,3fe0000000000000
original,1,4,6,2,7,2,3fe0000000000000
original,1,4,7,3,8,3,3fe0000000000000
original,1,4,8,0,9,0,3fe0000000000000
original,1,4,9,1,10,1,3fe0000000000000
original,1,4,10,2,11,2,3fe0000000000000
original,1,4,11,3,12,3,3fe0000000000000
original,1,16,0,0,1,0,3fe0000000000000
original,1,16,1,1,2,1,3fe0000000000000
original,1,16,2,2,3,2,3fe0000000000000
original,1,16,3,3,4,3,3fe0000000000000
original,1,16,4,4,5,4,3fe0000000000000
original,1,16,5,5,6,5,3fe0000000000000
original,1,16,6,6,7,6,3fe0000000000000
original,1,16,7,7,8,7,3fe0000000000000
original,1,16,8,8,9,8,3fe0000000000000
original,1,16,9,9,10,9,3fe0000000000000
original,1,16,10,10,11,10,3fe0000000000000
original,1,16,11,11,12,11,3fe0000000000000
original,42,1,0,0,1,0,3fe0000000000000
original,42,1,1,0,2,0,3fe0000000000000
original,42,1,2,0,3,0,3fe0000000000000
original,42,1,3,0,4,0,3fe0000000000000
original,42,1,4,0,5,0,3fe0000000000000
original,42,1,5,0,6,0,3fe0000000000000
original,42,1,6,0,7,0,3fe0000000000000
original,42,1,7,0,8,0,3fe0000000000000
original,42,1,8,0,9,0,3fe0000000000000
original,42,1,9,0,10,0,3fe0000000000000
original,42,1,10,0,11,0,3fe0000000000000
original,42,1,11,0,12,0,3fe0000000000000
original,42,4,0,0,1,0,3fe0000000000000
original,42,4,1,1,2,1,3fe0000000000000
original,42,4,2,2,3,2,3fe0000000000000
original,42,4,3,3,4,3,3fe0000000000000
original,42,4,4,0,5,0,3fe0000000000000
original,42,4,5,1,6,1,3fe0000000000000
original,42,4,6,2,7,2,3fe0000000000000
original,42,4,7,3,8,3,3fe0000000000000
original,42,4,8,0,9,0,3fe0000000000000
original,42,4,9,1,10,1,3fe0000000000000
original,42,4,10,2,11,2,3fe0000000000000
original,42,4,11,3,12,3,3fe0000000000000
original,42,16,0,0,1,0,3fe0000000000000
original,42,16,1,1,2,1,3fe0000000000000
original,42,16,2,2,3,2,3fe0000000000000
original,42,16,3,3,4,3,3fe0000000000000
original,42,16,4,4,5,4,3fe0000000000000
original,42,16,5,5,6,5,3fe0000000000000
original,42,16,6,6,7,6,3fe0000000000000
original,42,16,7,7,8,7,3fe0000000000000
original,42,16,8,8,9,8,3fe0000000000000
original,42,16,9,9,10,9,3fe0000000000000
original,42,16,10,10,11,10,3fe0000000000000
original,42,16,11,11,12,11,3fe0000000000000
reverse,1,1,0,0,1,0,3fe0000000000000
reverse,1,1,1,0,2,0,3fe0000000000000
reverse,1,1,2,0,3,0,3fe0000000000000
reverse,1,1,3,0,4,0,3fe0000000000000
reverse,1,1,4,0,5,0,3fe0000000000000
reverse,1,1,5,0,6,0,3fe0000000000000
reverse,1,1,6,0,7,0,3fe0000000000000
reverse,1,1,7,0,8,0,3fe0000000000000
reverse,1,1,8,0,9,0,3fe0000000000000
reverse,1,1,9,0,10,0,3fe0000000000000
reverse,1,1,10,0,11,0,3fe0000000000000
reverse,1,1,11,0,12,0,3fe0000000000000
reverse,1,4,0,3,1,3,3fe0000000000000
reverse,1,4,1,2,2,2,3fe0000000000000
reverse,1,4,2,1,3,1,3fe0000000000000
reverse,1,4,3,0,4,0,3fe0000000000000
reverse,1,4,4,3,5,3,3fe0000000000000
reverse,1,4,5,2,6,2,3fe0000000000000
reverse,1,4,6,1,7,1,3fe0000000000000
reverse,1,4,7,0,8,0,3fe0000000000000
reverse,1,4,8,3,9,3,3fe0000000000000
reverse,1,4,9,2,10,2,3fe0000000000000
reverse,1,4,10,1,11,1,3fe0000000000000
reverse,1,4,11,0,12,0,3fe0000000000000
reverse,1,16,0,15,1,15,3fe0000000000000
reverse,1,16,1,14,2,14,3fe0000000000000
reverse,1,16,2,13,3,13,3fe0000000000000
reverse,1,16,3,12,4,12,3fe0000000000000
reverse,1,16,4,11,5,11,3fe0000000000000
reverse,1,16,5,10,6,10,3fe0000000000000
reverse,1,16,6,9,7,9,3fe0000000000000
reverse,1,16,7,8,8,8,3fe0000000000000
reverse,1,16,8,7,9,7,3fe0000000000000
reverse,1,16,9,6,10,6,3fe0000000000000
reverse,1,16,10,5,11,5,3fe0000000000000
reverse,1,16,11,4,12,4,3fe0000000000000
reverse,42,1,0,0,1,0,3fe0000000000000
reverse,42,1,1,0,2,0,3fe0000000000000
reverse,42,1,2,0,3,0,3fe0000000000000
reverse,42,1,3,0,4,0,3fe0000000000000
reverse,42,1,4,0,5,0,3fe0000000000000
reverse,42,1,5,0,6,0,3fe0000000000000
reverse,42,1,6,0,7,0,3fe0000000000000
reverse,42,1,7,0,8,0,3fe0000000000000
reverse,42,1,8,0,9,0,3fe0000000000000
reverse,42,1,9,0,10,0,3fe0000000000000
reverse,42,1,10,0,11,0,3fe0000000000000
reverse,42,1,11,0,12,0,3fe0000000000000
reverse,42,4,0,3,1,3,3fe0000000000000
reverse,42,4,1,2,2,2,3fe0000000000000
reverse,42,4,2,1,3,1,3fe0000000000000
reverse,42,4,3,0,4,0,3fe0000000000000
reverse,42,4,4,3,5,3,3fe0000000000000
reverse,42,4,5,2,6,2,3fe0000000000000
reverse,42,4,6,1,7,1,3fe0000000000000
reverse,42,4,7,0,8,0,3fe0000000000000
reverse,42,4,8,3,9,3,3fe0000000000000
reverse,42,4,9,2,10,2,3fe0000000000000
reverse,42,4,10,1,11,1,3fe0000000000000
reverse,42,4,11,0,12,0,3fe0000000000000
reverse,42,16,0,15,1,15,3fe0000000000000
reverse,42,16,1,14,2,14,3fe0000000000000
reverse,42,16,2,13,3,13,3fe0000000000000
reverse,42,16,3,12,4,12,3fe0000000000000
reverse,42,16,4,11,5,11,3fe0000000000000
reverse,42,16,5,10,6,10,3fe0000000000000
reverse,42,16,6,9,7,9,3fe0000000000000
reverse,42,16,7,8,8,8,3fe0000000000000
reverse,42,16,8,7,9,7,3fe0000000000000
reverse,42,16,9,6,10,6,3fe0000000000000
reverse,42,16,10,5,11,5,3fe0000000000000
reverse,42,16,11,4,12,4,3fe0000000000000
random,1,1,0,0,1,0,3fe0000000000000
random,1,1,1,0,2,0,3fe0000000000000
random,1,1,2,0,3,0,3fe0000000000000
random,1,1,3,0,4,0,3fe0000000000000
random,1,1,4,0,5,0,3fe0000000000000
random,1,1,5,0,6,0,3fe0000000000000
random,1,1,6,0,7,0,3fe0000000000000
random,1,1,7,0,8,0,3fe0000000000000
random,1,1,8,0,9,0,3fe0000000000000
random,1,1,9,0,10,0,3fe0000000000000
random,1,1,10,0,11,0,3fe0000000000000
random,1,1,11,0,12,0,3fe0000000000000
random,1,4,0,2,1,2,3fe0000000000000
random,1,4,1,0,2,0,3fe0000000000000
random,1,4,2,2,3,2,3fe0000000000000
random,1,4,3,3,4,3,3fe0000000000000
random,1,4,4,2,5,2,3fe0000000000000
random,1,4,5,0,6,0,3fe0000000000000
random,1,4,6,2,7,2,3fe0000000000000
random,1,4,7,3,8,3,3fe0000000000000
random,1,4,8,1,9,1,3fe0000000000000
random,1,4,9,3,10,3,3fe0000000000000
random,1,4,10,1,11,1,3fe0000000000000
random,1,4,11,2,12,2,3fe0000000000000
random,1,16,0,10,1,10,3fe0000000000000
random,1,16,1,0,2,0,3fe0000000000000
random,1,16,2,8,3,8,3fe0000000000000
random,1,16,3,15,4,15,3fe0000000000000
random,1,16,4,14,5,14,3fe0000000000000
random,1,16,5,4,6,4,3fe0000000000000
random,1,16,6,10,7,10,3fe0000000000000
random,1,16,7,11,8,11,3fe0000000000000
random,1,16,8,6,9,6,3fe0000000000000
random,1,16,9,15,10,15,3fe0000000000000
random,1,16,10,6,11,6,3fe0000000000000
random,1,16,11,8,12,8,3fe0000000000000
random,42,1,0,0,1,0,3fe0000000000000
random,42,1,1,0,2,0,3fe0000000000000
random,42,1,2,0,3,0,3fe0000000000000
random,42,1,3,0,4,0,3fe0000000000000
random,42,1,4,0,5,0,3fe0000000000000
random,42,1,5,0,6,0,3fe0000000000000
random,42,1,6,0,7,0,3fe0000000000000
random,42,1,7,0,8,0,3fe0000000000000
random,42,1,8,0,9,0,3fe0000000000000
random,42,1,9,0,10,0,3fe0000000000000
random,42,1,10,0,11,0,3fe0000000000000
random,42,1,11,0,12,0,3fe0000000000000
random,42,4,0,2,1,2,3fe0000000000000
random,42,4,1,1,2,1,3fe0000000000000
random,42,4,2,3,3,3,3fe0000000000000
random,42,4,3,2,4,2,3fe0000000000000
random,42,4,4,0,5,0,3fe0000000000000
random,42,4,5,2,6,2,3fe0000000000000
random,42,4,6,0,7,0,3fe0000000000000
random,42,4,7,2,8,2,3fe0000000000000
random,42,4,8,3,9,3,3fe0000000000000
random,42,4,9,1,10,1,3fe0000000000000
random,42,4,10,0,11,0,3fe0000000000000
random,42,4,11,3,12,3,3fe0000000000000
random,42,16,0,9,1,9,3fe0000000000000
random,42,16,1,6,2,6,3fe0000000000000
random,42,16,2,13,3,13,3fe0000000000000
random,42,16,3,10,4,10,3fe0000000000000
random,42,16,4,2,5,2,3fe0000000000000
random,42,16,5,8,6,8,3fe0000000000000
random,42,16,6,4,7,4,3fe0000000000000
random,42,16,7,10,8,10,3fe0000000000000
random,42,16,8,13,9,13,3fe0000000000000
random,42,16,9,7,10,7,3fe0000000000000
random,42,16,10,3,11,3,3fe0000000000000
random,42,16,11,14,12,14,3fe0000000000000
random-walk,1,1,0,0,1,0,3fe0000000000000
random-walk,1,1,1,0,2,0,3fe0000000000000
random-walk,1,1,2,0,3,0,3fe0000000000000
random-walk,1,1,3,0,4,0,3fe0000000000000
random-walk,1,1,4,0,5,0,3fe0000000000000
random-walk,1,1,5,0,6,0,3fe0000000000000
random-walk,1,1,6,0,7,0,3fe0000000000000
random-walk,1,1,7,0,8,0,3fe0000000000000
random-walk,1,1,8,0,9,0,3fe0000000000000
random-walk,1,1,9,0,10,0,3fe0000000000000
random-walk,1,1,10,0,11,0,3fe0000000000000
random-walk,1,1,11,0,12,0,3fe0000000000000
random-walk,1,4,0,3,1,3,3fe0000000000000
random-walk,1,4,1,0,2,0,3fe0000000000000
random-walk,1,4,2,3,3,3,3fe0000000000000
random-walk,1,4,3,2,4,2,3fe0000000000000
random-walk,1,4,4,1,5,1,3fe0000000000000
random-walk,1,4,5,2,6,2,3fe0000000000000
random-walk,1,4,6,1,7,1,3fe0000000000000
random-walk,1,4,7,0,8,0,3fe0000000000000
random-walk,1,4,8,1,9,1,3fe0000000000000
random-walk,1,4,9,0,10,0,3fe0000000000000
random-walk,1,4,10,1,11,1,3fe0000000000000
random-walk,1,4,11,2,12,2,3fe0000000000000
random-walk,1,16,0,15,1,15,3fe0000000000000
random-walk,1,16,1,0,2,0,3fe0000000000000
random-walk,1,16,2,15,3,15,3fe0000000000000
random-walk,1,16,3,14,4,14,3fe0000000000000
random-walk,1,16,4,13,5,13,3fe0000000000000
random-walk,1,16,5,14,6,14,3fe0000000000000
random-walk,1,16,6,13,7,13,3fe0000000000000
random-walk,1,16,7,12,8,12,3fe0000000000000
random-walk,1,16,8,13,9,13,3fe0000000000000
random-walk,1,16,9,12,10,12,3fe0000000000000
random-walk,1,16,10,13,11,13,3fe0000000000000
random-walk,1,16,11,14,12,14,3fe0000000000000
random-walk,42,1,0,0,1,0,3fe0000000000000
random-walk,42,1,1,0,2,0,3fe0000000000000
random-walk,42,1,2,0,3,0,3fe0000000000000
random-walk,42,1,3,0,4,0,3fe0000000000000
random-walk,42,1,4,0,5,0,3fe0000000000000
random-walk,42,1,5,0,6,0,3fe0000000000000
random-walk,42,1,6,0,7,0,3fe0000000000000
random-walk,42,1,7,0,8,0,3fe0000000000000
random-walk,42,1,8,0,9,0,3fe0000000000000
random-walk,42,1,9,0,10,0,3fe0000000000000
random-walk,42,1,10,0,11,0,3fe0000000000000
random-walk,42,1,11,0,12,0,3fe0000000000000
random-walk,42,4,0,3,1,3,3fe0000000000000
random-walk,42,4,1,0,2,0,3fe0000000000000
random-walk,42,4,2,3,3,3,3fe0000000000000
random-walk,42,4,3,2,4,2,3fe0000000000000
random-walk,42,4,4,3,5,3,3fe0000000000000
random-walk,42,4,5,2,6,2,3fe0000000000000
random-walk,42,4,6,3,7,3,3fe0000000000000
random-walk,42,4,7,2,8,2,3fe0000000000000
random-walk,42,4,8,1,9,1,3fe0000000000000
random-walk,42,4,9,2,10,2,3fe0000000000000
random-walk,42,4,10,3,11,3,3fe0000000000000
random-walk,42,4,11,2,12,2,3fe0000000000000
random-walk,42,16,0,15,1,15,3fe0000000000000
random-walk,42,16,1,0,2,0,3fe0000000000000
random-walk,42,16,2,15,3,15,3fe0000000000000
random-walk,42,16,3,14,4,14,3fe0000000000000
random-walk,42,16,4,15,5,15,3fe0000000000000
random-walk,42,16,5,14,6,14,3fe0000000000000
random-walk,42,16,6,15,7,15,3fe0000000000000
random-walk,42,16,7,14,8,14,3fe0000000000000
random-walk,42,16,8,13,9,13,3fe0000000000000
random-walk,42,16,9,14,10,14,3fe0000000000000
random-walk,42,16,10,15,11,15,3fe0000000000000
random-walk,42,16,11,14,12,14,3fe0000000000000
brownian,1,1,0,0,1,0,3fe176c19cdae148
brownian,1,1,1,0,2,0,3fd778874e5c28f6
brownian,1,1,2,0,3,0,3fd81a6af2deb852
brownian,1,1,3,0,4,0,3fe197e2cb3851ec
brownian,1,1,4,0,5,0,3fe6fd304431eb86
brownian,1,1,5,0,6,0,3fe477a2f1e00001
brownian,1,1,6,0,7,0,3fe5c4696e9851ec
brownian,1,1,7,0,8,0,3fe84f68ec55c290
brownian,1,1,8,0,9,0,3fe774937f747ae2
brownian,1,1,9,0,10,0,3fed27de500f5c2a
brownian,1,1,10,0,11,0,3feca3f524fd70a5
brownian,1,1,11,0,12,0,3fec82e49b8a3d72
brownian,1,4,0,2,1,2,3fe176c19cdae148
brownian,1,4,1,1,2,1,3fd778874e5c28f6
brownian,1,4,2,1,3,1,3fd81a6af2deb852
brownian,1,4,3,2,4,2,3fe197e2cb3851ec
brownian,1,4,4,2,5,2,3fe6fd304431eb86
brownian,1,4,5,2,6,2,3fe477a2f1e00001
brownian,1,4,6,2,7,2,3fe5c4696e9851ec
brownian,1,4,7,3,8,3,3fe84f68ec55c290
brownian,1,4,8,2,9,2,3fe774937f747ae2
brownian,1,4,9,3,10,3,3fed27de500f5c2a
brownian,1,4,10,3,11,3,3feca3f524fd70a5
brownian,1,4,11,3,12,3,3fec82e49b8a3d72
brownian,1,16,0,8,1,8,3fe176c19cdae148
brownian,1,16,1,5,2,5,3fd778874e5c28f6
brownian,1,16,2,6,3,6,3fd81a6af2deb852
brownian,1,16,3,8,4,8,3fe197e2cb3851ec
brownian,1,16,4,11,5,11,3fe6fd304431eb86
brownian,1,16,5,10,6,10,3fe477a2f1e00001
brownian,1,16,6,10,7,10,3fe5c4696e9851ec
brownian,1,16,7,12,8,12,3fe84f68ec55c290
brownian,1,16,8,11,9,11,3fe774937f747ae2
brownian,1,16,9,14,10,14,3fed27de500f5c2a
brownian,1,16,10,14,11,14,3feca3f524fd70a5
brownian,1,16,11,14,12,14,3fec82e49b8a3d72
brownian,42,1,0,0,1,0,3fe12a2ac6dc28f6
brownian,42,1,1,0,2,0,3fe091ab74c00000
brownian,42,1,2,0,3,0,3fe4a12238451eb8
brownian,42,1,3,0,4,0,3fe695b32155c28f
brownian,42,1,4,0,5,0,3fe2d6afd82f5c29
brownian,42,1,5,0,6,0,3fe3251c8aa3d70a
brownian,42,1,6,0,7,0,3fe0885568fae148
brownian,42,1,7,0,8,0,3fe1f83878628f5c
brownian,42,1,8,0,9,0,3fe62e0c972ccccc
brownian,42,1,9,0,10,0,3fe5dc68aabd70a3
brownian,42,1,10,0,11,0,3fe2fae7688147ad
brownian,42,1,11,0,12,0,3fe761a42b47ae13
brownian,42,4,0,2,1,2,3fe12a2ac6dc28f6
brownian,42,4,1,2,2,2,3fe091ab74c00000
brownian,42,4,2,2,3,2,3fe4a12238451eb8
brownian,42,4,3,2,4,2,3fe695b32155c28f
brownian,42,4,4,2,5,2,3fe2d6afd82f5c29
brownian,42,4,5,2,6,2,3fe3251c8aa3d70a
brownian,42,4,6,2,7,2,3fe0885568fae148
brownian,42,4,7,2,8,2,3fe1f83878628f5c
brownian,42,4,8,2,9,2,3fe62e0c972ccccc
brownian,42,4,9,2,10,2,3fe5dc68aabd70a3
brownian,42,4,10,2,11,2,3fe2fae7688147ad
brownian,42,4,11,2,12,2,3fe761a42b47ae13
brownian,42,16,0,8,1,8,3fe12a2ac6dc28f6
brownian,42,16,1,8,2,8,3fe091ab74c00000
brownian,42,16,2,10,3,10,3fe4a12238451eb8
brownian,42,16,3,11,4,11,3fe695b32155c28f
brownian,42,16,4,9,5,9,3fe2d6afd82f5c29
brownian,42,16,5,9,6,9,3fe3251c8aa3d70a
brownian,42,16,6,8,7,8,3fe0885568fae148
brownian,42,16,7,8,8,8,3fe1f83878628f5c
brownian,42,16,8,11,9,11,3fe62e0c972ccccc
brownian,42,16,9,10,10,10,3fe5dc68aabd70a3
brownian,42,16,10,9,11,9,3fe2fae7688147ad
brownian,42,16,11,11,12,11,3fe761a42b47ae13
# makeCyclicOrder: length,seed,order
1,1,0
1,42,0
1,4294967295,0
2,1,0;1
2,42,0;1
2,4294967295,0;1
5,1,4;2;1;0;3
5,42,0;4;2;1;3
5,4294967295,3;1;2;0;4
16,1,4;13;1;14;5;2;8;15;9;6;3;11;12;7;0;10
16,42,12;7;0;15;4;1;3;14;10;13;5;2;8;11;6;9
16,4294967295,3;8;15;7;0;11;9;1;4;6;5;13;12;10;2;14
# noteOrderMixFromEdges: original_bits,utterly_bits,original,cyclic,utterly
0000000000000000,0000000000000000,0,100,0
4059000000000000,0000000000000000,100,0,0
0000000000000000,4059000000000000,0,0,100
404e000000000000,4024000000000000,60,30,10
404e000000000000,4054000000000000,60,0,40
c024000000000000,4069000000000000,0,0,100
4040c00000000000,4040c00000000000,34,32,34
# nextMixedStepIndex: mix,seed,length,step,index,source,pos,last
all-original,1,1,0,0,original,1,0
all-original,1,1,1,0,original,2,0
all-original,1,1,2,0,original,3,0
all-original,1,1,3,0,original,4,0
all-original,1,1,4,0,original,5,0
all-original,1,1,5,0,original,6,0
all-original,1,1,6,0,original,7,0
all-original,1,1,7,0,original,8,0
all-original,1,1,8,0,original,9,0
all-original,1,1,9,0,original,10,0
all-original,1,1,10,0,original,11,0
all-original,1,1,11,0,original,12,0
all-original,1,4,0,0,original,1,0
all-original,1,4,1,1,original,2,1
all-original,1,4,2,2,original,3,2
all-original,1,4,3,3,original,4,3
all-original,1,4,4,0,original,5,0
all-original,1,4,5,1,original,6,1
all-original,1,4,6,2,original,7,2
all-original,1,4,7,3,original,8,3
all-original,1,4,8,0,original,9,0
all-original,1,4,9,1,original,10,1
all-original,1,4,10,2,original,11,2
all-original,1,4,11,3,original,12,3
all-original,1,16,0,0,original,1,0
all-original,1,16,1,1,original,2,1
all-original,1,16,2,2,original,3,2
all-original,1,16,3,3,original,4,3
all-original,1,16,4,4,original,5,4
all-original,1,16,5,5,original,6,5
all-original,1,16,6,6,original,7,6
all-original,1,16,7,7,original,8,7
all-original,1,16,8,8,original,9,8
all-original,1,16,9,9,original,10,9
all-original,1,16,10,10,original,11,10
all-original,1,16,11,11,original,12,11
all-original,42,1,0,0,original,1,0
all-original,42,1,1,0,original,2,0
all-original,42,1,2,0,original,3,0
all-original,42,1,3,0,original,4,0
all-original,42,1,4,0,original,5,0
all-original,42,1,5,0,original,6,0
all-original,42,1,6,0,original,7,0
all-original,42,1,7,0,original,8,0
all-original,42,1,8,0,original,9,0
all-original,42,1,9,0,original,10,0
all-original,42,1,10,0,original,11,0
all-original,42,1,11,0,original,12,0
all-original,42,4,0,0,original,1,0
all-original,42,4,1,1,original,2,1
all-original,42,4,2,2,original,3,2
all-original,42,4,3,3,original,4,3
all-original,42,4,4,0,original,5,0
all-original,42,4,5,1,original,6,1
all-original,42,4,6,2,original,7,2
all-original,42,4,7,3,original,8,3
all-original,42,4,8,0,original,9,0
all-original,42,4,9,1,original,10,1
all-original,42,4,10,2,original,11,2
all-original,42,4,11,3,original,12,3
all-original,42,16,0,0,original,1,0
all-original,42,16,1,1,original,2,1
all-original,42,16,2,2,original,3,2
all-original,42,16,3,3,original,4,3
all-original,42,16,4,4,original,5,4
all-original,42,16,5,5,original,6,5
all-original,42,16,6,6,original,7,6
all-original,42,16,7,7,original,8,7
all-original,42,16,8,8,original,9,8
all-original,42,16,9,9,original,10,9
all-original,42,16,10,10,original,11,10
all-original,42,16,11,11,original,12,11
all-cyclic,1,1,0,0,cyclic,1,0
all-cyclic,1,1,1,0,cyclic,2,0
all-cyclic,1,1,2,0,cyclic,3,0
all-cyclic,1,1,3,0,cyclic,4,0
all-cyclic,1,1,4,0,cyclic,5,0
all-cyclic,1,1,5,0,cyclic,6,0
all-cyclic,1,1,6,0,cyclic,7,0
all-cyclic,1,1,7,0,cyclic,8,0
all-cyclic,1,1,8,0,cyclic,9,0
